PMID,TI,AB,JT,DP,PL,YY,year
7241029,Determinants of short stature in normal children at the age of two years: a case-control study in a community in Jerusalem.,"Differences were analysed between growth patterns and determinants of physical growth in two groups of normal infants at 24 months. Longitudinal data routinely collected in a mother and child clinic were analysed. At 24 months, 26% of cohort infants were at or below the 10th percentile for length (= 'small' infants); 98 of these were compared with 83 'medium' infants (between the 50th and the 75th percentile, for example). Excessive downward deviation of length percentiles was seen in 80% of 'small' infants. In 20% their birthweight was on the 10th percentile or below; 50% had a mother less than 155 cm tall; maternal stature was closely linked with socioeconomic factors. Of mothers with less than nine years of schooling, 70% had 'small' infants. In 95% of both groups growth attainment at two years could be predicted from data at 12 months. The known factors influencing deviant physical growth overlap with those of mental and social development. Growth deviation by itself may identify infants open to multiple risks, especially if their mothers have a low educational level. Further narrowing of the target group for specialised intervention strategies should be attempted.",Journal of epidemiology and community health,1980 Dec,England,1980,80
6485577,[Psychosocial determinants of dietary habits].,To the nutritional-scientific point of view of consumption habits is opposed the sociological one and briefly explained. It is discussed that only a greater knowledge of psychosocial determinants would make it possible to influence eating habits. A project for the collection of these determinants is presented.,Sozial- und Praventivmedizin,1984,Switzerland,1984,80
7456749,[Campaign for the prevention of cardiovascular diseases: social determinants for the participation in the initial health screening].,"This article presents results regarding the social factors which determine the participation at baseline screening during a campaign for the prevention of cardio-vascular diseases in Nyon and Aarau. On the basis of certain variables which are sociologically relevant, the analysis compares: --spontaneous participants and non-participants--spontaneous and requested participants. It is clearly shown that inclination to participate depends mainly on the situation and position of individuals in the social field, since these determine their understanding of medicine, their relation to their body, and their attitude towards health and preventive measures. A second correlation was also established between actual participation and exposure to action taken by the local leaders and associations to mobilize inhabitants for the campaign.",Sozial- und Praventivmedizin,1980 Nov,Switzerland,1980,80
3633877,A conceptual framework to study the use of nursing care plans.,"Value-expectancy theory proposed by Lewin states that motivation for behaviour is based on the probability that a given action or behaviour will achieve a valued or desired outcome. Becker and Maiman elaborated on this theory and developed a model to study compliance by considering the influence of sociobehavioural determinants in the inter-relationship of motivating and modifying factors which dictate human behaviour. The Becker-Maiman framework was used to determine factors which influence the use of the nursing care plan by staff nurses. From interviews with staff nurses, surveys of nurses attending workshops on NCPs and review of literature a model was developed for use in examining the nursing care planning behaviour of nurses.",International journal of nursing studies,1986,England,1986,80
3646999,Some determinants of stress in psychiatric nurses.,"This paper reports the results of an empirical study of psychological stress in nurses employed in a large Special Hospital and caring for mentally disturbed patients who may be a danger to themselves or to others. Such an environment would appear to be dangerous and stressful and the findings of this study show that this sample of nurses do indeed report relatively high levels of stress when compared to some other employed samples. Relationships between psychological distress, anxiety and depression and aspects of their jobs, such as job demands, supports and constraints, are discussed. Individual differences in experiences of stress are also considered.",International journal of nursing studies,1987,England,1987,80
6663350,"Chronic post-traumatic headache: clinical, psychopathological features and outcome determinants.","The epidemiological and clinical profile of Chronic Post-Traumatic Headache (CPTH) has been studied in 57 out of 130 consecutive patients hospitalized, following closed head injuries, at the Institute of Neurosurgery of the University of Milan. The incidence of CPTH has been 44%. Age of the patients ranged between 4 and 69 years. Clinical pictures included closed head injuries of different degree of severity: mild, moderate and severe. Time of onset, headache frequency, character, intensity, duration and associated symptoms showed a great degree of variability. However, chronic muscle contraction headache was the commonest clinical syndrome followed by migraine. Moderate correlations have been found between the severity of CPTH disturbance of consciousness, following the head trauma, and positive findings at CT scan. Moreover the comparison of personality profiles (MMPI) of CPTH (n=26) with a post-traumatic control group, without headache (n=17) showed higher scores on hypocondriasis, depression, hysteria and schizophrenia scales only in the severe CPTH group. Age of the patients, duration of unconsciousness, neurological deficits, course length and pending litigation or compensations were unrelated to the occurrence and outcome of CPTH. These findings suggest the importance of both physical and psychological determinants (social or emotional maladjustment) in the pathogenesis of CPTH.",Journal of neurosurgical sciences,1983 Jul-Sep,Italy,1983,80
7258317,Interaction of client class and gender in biasing clinical judgement.,"Class and gender and determinants of therapists' perceptions of clients were investigated in a survey of 418 psychologists presented with a case history that manipulated all possible combinations of client class (working/middle) and gender (male/female). Findings suggest that among male clients, the higher the social class, the more favorable the therapists' attitude; among female clients, the trend is in the opposite direction. Results are discussed in the context of the sexual division of labor and differential expectations for male and female clients in therapy.",The American journal of orthopsychiatry,1981 Jul,United States,1981,80
12314663,Municipal records in nineteenth century Dutch emigration research.,"Dutch emigrant registration records for the nineteenth century are examined in an effort to shed light on the local circumstances of the Dutch emigration movement. ""Since nineteenth century emigration took place mostly through primary contacts this article will examine the newly established immigrant settlements as 'communities transplanted'...which directs our research to include local municipal records such as population censuses, population registers (which were supplemented after 1861 with registers of in- and out-migration), tax records, and records of vital events like marriage, birth and death registers. The quality and availability of these records vary from place to place, but generally speaking, in the case of the Netherlands, they are of high quality since population registration at the municipal level was required by law. The source of information for the local records are the population registers (Bevolkings Registers) which were originally constructed on the basis of information obtained from the 1850 population census....""",The International migration review,1987 Spring,United States,1987,80
22085142,The timing of Spanish marriages a socio-statistical study.,"Abstract A sample survey of 2,012 married and single women aged 18-59 in Madrid was in part focused on causes of late marriage, which has for a long time been characteristic of Spain. It was found that age at marriage was not related to a variety of socio-economic measures, to parental restrictions on courtship, nor to birth order or number of siblings. Direct economic motivations appear to have affected length of courtship but scarcely age at marriage. Ages at marriage differ in different areas of Madrid, even when key demographic and social variables are controlled; and evidence from a sub-sample of interviews suggests that it may be a characteristic of different families. Along with clear evidence of normative patterns supporting long courtships and late marriages, such data point to the potential importance of sociological variables, and to the need for similar research on determinants of men's ages at marriage.",Population studies,1983,England,1983,80
3771282,"Preferences, attitudes and personality as determinants of salt intake.","Thirty-six female subjects took part in a study involving using pre-weighed table and cooking salt pots, along with complete urine collections for 7 days. Urinary sodium excretion was determined, and was used as an estimate of sodium (salt) intake. Other measures taken were, most preferred concentration of salt in soup, blood pressure, body weight and height, along with questionnaires on general food preferences, attitudes to adding table salt to foods, and the Eysenck Personality Inventory (EPI). Table salt (7 per cent) and cooking salt (8 per cent) were found to account for only a small proportion of total sodium intake, the major part (89 per cent) being from non-discretionary salt present in foods. Subjects, divided on the basis of table salt use and total intake, were found to differ in the most preferred concentration of salt in soup, but not in their sensitivity to variations from their ideal. Table salt use was predicted very well by the individual's attitude, and to a lesser extent by perceived social pressure. The only other variable related to higher table salt use was a lower preference for fruit on the general food preferences questionnaire. The lower preference for fruit was also related to higher total salt intake, which was also predicted by a lower neuroticism score on the EPI. While extraversion was positively related to non-discretionary salt intake, this relationship was not significant for total salt intake.",Human nutrition. Applied nutrition,1986 Jun,England,1986,80
7280342,Sociological aspects of community-based health intervention programmes. The North Karelia Project as an example.,"The article considers the sociological aspects of community based health intervention programmes using the North Karelia Project as an example. Health programmes are still in the process of institutionalisation. This means that unlike long established disciplines they do not yet have a well-established methodology, clear research evaluation criteria, or known laws or invariances. The social characteristics of health intervention programmes are considered. They may be regarded as action research. A basic dilemma in the aims of health intervention programmes is emphasized; on the one hand to produce a change in the behavior and health status of the population, and on the other hand to discover the laws or invariances, governing them. The solution of this conflict affects the goals, methods and organisation of the programme and is also important in the evaluation of the outcome. The North Karelia Project, like other health intervention programme was launched and given legal force for medical reasons based on epidemiological research into risk factors. However, behaviour affecting health involves many other dimensions than the medical one. The social determinants and functions of health behaviours, and the role of health intervention as an agent of social control are discussed. Finally, the results and evaluation of this community level health intervention programmes are discussed and their practical implications are considered.",Revue d'epidemiologie et de sante publique,1981,France,1981,80
12312686,The socio-economic determinants of recourse to legal abortion.,"""This study of the determinants of legal abortion examines the interconnections between human reproduction and social organization. The hypothesis is that in the context of liberalized abortion laws, the incidence of abortion is determined by the socio-economic circumstances of women. A simple model of this relationship is tested using international data drawn from a sample of countries."" The policy implications for welfare and birth control planning are considered, as well as the implications for feminist action.",Women's studies international quarterly,1980,England,1980,80
3244671,Determinants of serum alpha-tocopherol in Finnish adults.,"The relationship between serum alpha-tocopherol level and many of its possible determinants was studied in 1,373 cancer-free Finnish men and women age 40-79 years. Dietary data were available from a subsample of 301 persons. The mean alpha-tocopherol level in the serum samples stored at -20 degrees C was 8.6 mg/liter among men and 10.5 mg/liter among women. Intake of margarine, vegetable oils, and green vegetables predicted the serum level of alpha-tocopherol. Altogether six food groups accounted for about 10% of the variation. The levels also varied with age, geographical area, type of population, occupation, socioeconomic status, and marital status. They were positively correlated with serum cholesterol and serum vitamin A in both sexes, and with body mass index and serum selenium in men. Altogether these variables accounted for over 40% of the variation in alpha-tocopherol levels. The level of serum alpha-tocopherol, which is associated with the dietary intake of vitamin E, is dependent upon living conditions.",Preventive medicine,1988 Nov,United States,1988,80
24301041,Differentiating specialists and generalists within college students' social support networks.,"In order to examine the relationships among social network structure, types of social support, and determinants of support satisfaction, an alternative method was used to score the Social Support Questionnaire (SSQ). Factor analysis procedures suggested that college students' (N=198) social networks consisted of four groups: nuclear family, other family, friends, and others. Satisfaction with support was positively related to the proportion of the network occupied by nuclear family and negatively related to the proportion of friends in the network. Evidence was found for the presence of both support specialists and support generalists in the networks of the college students. These results are discussed from a developmental perspective with attention to the implications for interventions.",Journal of youth and adolescence,1985 Feb,United States,1985,80
7258353,Mental health expenditures in California counties.,"In 1957 California began placing responsibility for public mental health services on county programs still vary widely in emphasis and size. The authors explored determinants of counties' unequal program developments using per capita expenditures as the measure of county services. Sociodemographic variables that help explain states' social program expenditures correlate weakly or not at all with county mental health expenditures. The most powerful predictor of these expenditures is number of psychiatrists per 10,000 population. Equal per capita expenditures, however, are not a reasonable goal; these can mask wide variations in program content, efficiency, and quality of care.",The American journal of psychiatry,1981 Jul,United States,1981,80
2514523,[Determinants of income and expenditure development in the annual reports of the health insurance of the Federal Republic of Germany].,"Contribution rates to the German statutory health insurance differ considerably between different sickness funds. While insurance benefits are largely standardized, these differences are widely regarded as a problem for the state's social policy. The health insurance bodies often offer hasty interpretations to justify the differences of contribution rates. These interpretations, however, cannot be checked on the basis of data from the annual reports of the health insurance. In reality, there is a number of determinants of the contribution rate which lie as well inside as outside the sphere of influence of the health insurance bodies. In order to estimate the respective impact of single determinants it is important to differentiate the health expenditures by age and sex of all insured persons (both the contribution paying members and their co-insured dependents). A further disentanglement of health expenditures into prices, quantities and structural components allows to identify the reasons of increases in health costs. This is also a necessary precondition for creating and implementing suitable measures that are directed to control health costs. At the same time, the improved information system of the statutory health insurance would contribute to a better understanding of the performance of the health system in general.",Sozial- und Praventivmedizin,1989,Switzerland,1989,80
6699384,Sex differences in life satisfaction: Australian data.,"Data from an Australian survey of 1,050 elderly men and women were analyzed with regard to sex differences in life satisfaction and its determinants. Men and women had very similar levels of education, health, financial satisfaction, subjective social integration, and morale. Little difference between sexes was found in the causal process determining life satisfaction. There was little or no interaction between sex and the other variables examined.",Journal of gerontology,1984 Mar,United States,1984,80
12266410,"Micro determinants of female migration in a developing country: labor market, demographic marriage market and economic marriage market incentives.","A micro study of inter-regional migration by women in Nicaragua is presented. The authors ""explore three sets of migratory incentives: (1) labor market factors such as usually are emphasized; (2) 'demographic marriage market' considerations (i.e., the probability of having a male companion)...; and (3) 'economic marriage market' considerations (i.e., the expected earnings from a companion given regional labor market conditions and assortative mating)....[They] use estimates of expected outcomes in origin, destination and third regions--conditional upon the woman's characteristics and upon regional differences in labor and marriage markets--to explore the consistency of actual migratory flows with these three sets of migratory incentives."" Data are from a sample of approximately 4,000 women aged 15-45 who were interviewed in 1977-1978.",Research in population economics,1984,United States,1984,80
6486090,"Diet, smoking, social class, and body mass index in the Caerphilly Heart Disease Study.","Associations between smoking habit, social class, body mass index, and diet were examined in 493 men aged 45 to 59 yr, selected from the general population and who had completed a 7-day weighed dietary record. Smokers were lighter than nonsmokers and had a lower body mass index. There was no difference in energy intake, but in general, smokers had lower intakes of vitamins, minerals, and dietary fiber. Exsmokers had similar intakes to nonsmokers. Manual workers tended to be shorter, had a higher body mass index, higher intakes of energy and carbohydrates, and lower intakes of vitamins and minerals than nonmanual workers. Social class had a greater effect than smoking habit on intakes of energy and carbohydrates, whereas smoking habit had the greater effect on intakes of minerals and vitamins. Body mass index was associated negatively with sucrose intake and positively with protein intake, smoking habit, and social class being less important determinants.",The American journal of clinical nutrition,1984 Oct,United States,1984,80
6542479,Agonistic and reproductive interactions in Betta splendens.,"Reproductive and agonistic behaviors in Siamese fighting fish were investigated in eight experiments, and some consequences and determinants of these sequences were isolated. First, fights and the formation of dominance-subordinancy relations were studied. Second, it was determined that large body size as well as males' prior residency in a tank produced an agonistic advantage; the magnitude of this advantage was positively related to the duration of residency. Third, the prior-residency effect in Bettas was determined by males' familiarity with visual and/or tactile cues in their home tanks. Fourth, dominant males had greater access to living space and were more likely to display at a mirror, build nests, and approach females than were subordinates. Finally, it was discovered that chemical cues associated with presumedly inert plastic tank dividers influence Bettas' social behavior.","Journal of comparative psychology (Washington, D.C. : 1983)",1984 Dec,United States,1984,80
3705997,Psychiatric determinants of weight changes in jaw-fixed obese patients.,Forty-five severely obese patients were treated with jaw fixation as a means of initiating weight loss. Patients who reported eating for consolation showed significantly greater difficulties in maintaining the achieved weight loss than the others. This finding constitutes further evidence of a relationship between obesity and depression. Low capacity to experience feelings of aggressiveness also seems to be linked to poor treatment results.,Acta psychiatrica Scandinavica,1986 Feb,United States,1986,80
2551196,"Determinants of polychlorinated biphenyls (PCBs), polybrominated biphenyls (PBBs), and dichlorodiphenyl trichloroethane (DDT) levels in the sera of young children.","Serum samples from 285 4-year-old Michigan children were evaluated for levels of 11 environmental contaminants. Polychlorinated biphenyls (PCBs) were found in half the samples tested; polybrominated biphenyls (PBBs) in 13-21 percent; dichlorodiphenyl trichloroethane (DDT), in more than 70 percent. Nursing (Mothers' milk) was the principal source of these exposures. Congener-specific analysis documented the presence of at least one highly toxic PCB congener, 2,3',4,4',5-pentachlorobiphenyl. The data demonstrate the multigenerational impact of female exposure to persistent organic environmental contaminants.",American journal of public health,1989 Oct,United States,1989,80
2709190,A hypothesis for the pathogenesis of essential hypertension: the initiating factors.,"A longitudinal study of rural-urban migration from a low blood pressure community was completed in 1985. It is suggested that the rapid increase in blood pressure observed with acculturation in this study constitutes a new dynamic model for the early phase of human essential hypertension. Analysis of data derived from this study indicates that increases in dietary sodium, weight gain and sympathetic tone (possibly reflecting acute environmental stress) are important determinants of the early blood pressure rise. It is proposed that a defence reaction occurs in response to environmental stress which maintains or increases cardiorenal sympathetic outflow, thereby overriding the negative feedback inhibition of sympathetic activity which otherwise occurs when dietary sodium is suddenly increased. The antinatriuretic response results in an early volume-dependent rise in blood pressure. We also propose that variation in individual blood pressure responses to migration may be explained not only by quantum differences in the two environmental factors, but also by a genetically-determined failure of adaptation to the combined effects of these stimuli on renal tubular reabsorption of sodium.",Journal of hypertension. Supplement : official journal of the International Society of Hypertension,1989 Feb,England,1989,80
