PMID,TI,AB,JT,DP,PL,YY,year
498406,Social determinants of violence in hockey: a review.,"Research on the social determinants of hockey violence is organized in this paper under three main headings: (1) the social organization of the hockey ""system"", (2) mass media portrayals of the professional game, and (3) the influence of players' reference others. It appears that these determinants all contribute to a social environment in which hockey performers perceive that the rewards of violence often outweigh the costs.",Canadian journal of applied sport sciences. Journal canadien des sciences appliquees au sport,1979 Mar,Canada,1979,70
45183,Interactions of pharmacological agents which alter biogenic amine metabolism and depression--an analysis of contributing factors within a primate model of depression.,"The observation that the biogenic amine depleting agent, reserpine, could induce severe depression in a small proportion of the patients treated with it has proved to be seminal finding in what is now a much larger field of research relating the function brain biogenic amine systems to emotions and behavior. A review of the human reserpine literature suggests, however, that factors other than pharmacologically produced alterations in brain biogenic amine metabolism must have been critical determinants of the eventual mood alterations observed in conjunction with reserpine treatment. While some of these factors, such as previous history of depression, ongoing psychosocial and environmental stress, can be intuitively identified, there are practical as well as ethical problems involved in actually testing the relative contribution of these factors in precipitating human depression and thereby determining their importance in a quantitative fashion. In the present paper we have attempted to examine, in a nonhuman primate model of depression, the degree to which factors such as prior rearing condition, repeated peer separation, and housing environment can intact with the behavioral effects produced by biogenic amine depleting agents. Major emphasis will be placed on studies utilizing alpha-methyl-para-tyrosine, an inhibitor of tyrosine hydroxylase, to ostensively reduce levels of the catecholamine neurotransmitters norepinephrine and dopamine. The results of these studies provide quantitative estimates, in terms of dose-effect relationships, of the degree to which a number of factors can combine to produce despair-like behavior in rhesus monkeys. These data may be of practical importance in evaluating the contribution of similar factors to the precipitation of human depression. Analysis of some of the existing literature relating alterations in behavior to changes in biogenic amine metabolism in animals suggests that there are important differences between rodent and primate species. These differences, when fully established, may indicate that additional research examining the mechanisms whereby modest alterations in biogenic amine metabolism can interact with environmental and social stress is needed.",Journal of affective disorders,1979 Mar,Netherlands,1979,70
10315851,The health thinkers: clarifying health determinants but not upsetting sinners.,"Probably no health thinker has played a greater part than Professor Tom McKeown in bringing medical practice in modern society under close and critical scrutiny. He has accomplished this not by a ruthless assessment of individual clinical therapies, but by linking the role of medicine to the wider issues within epidemiology.",Health and social service journal,1979 Feb 22,England,1979,70
388153,La menespausie--the birth of a syndrome.,"The prevalent assumption that climacteric disturbances appeared when the expectation of life of women assured survival past the menopause cannot be supported demographically. These disorders are largely conditioned by sociocultural factors and, therefore, may be expected to have been initiated when these factors became stressful. Historical examination shows that medicine, or its marginal practitioners, were always involved in the postponement of ageing whenever the status of women depended more on their attractiveness than other social determinants, a logical ""geriatric"" extension of its traditional cosmetic activities. No menopausal disturbances are however recorded until the social convulsions of the French Revolution, and the regimes which followed, seem to have crystalized the various complaints of the climacteric into a disease-expression, which reified the social stress to which women were subject. This is dramatically reflected, both in the medical writings published in France around the year 1800, and in the naming, for the first time, of this phase of woman's life: La Menespausie, soon shortened to Menopause.",Maturitas,1979 Feb,Ireland,1979,70
215853,Factors associated with utilization of the swine flu vaccination program among senior citizens in Tompkins County.,"The health belief model is tested in the context of the swine flu vaccination program for senior citizens. Analysis is based on 232 responses to a questionnaire mailed to a simple random sample of 500 senior citizens in Tompkins County, New York. Social and psychologic variables identified by the model as important in determining utilization of preventive health services are: perceived susceptibility and severity of disease, perceived efficacy and danger associated with the preventive action, and general health motivations. Differences of means between users and nonusers for these variables are computed and compared with the results of a more sophisticated analytic technique--logit analysis--for use with dichotomous dependent variables. Results reveal that the health belief model accounts for 34 per cent of the variance in use of the vaccine by senior citizens. Perceived susceptibility to the disease and amount of danger associated with receiving the swine flu immunization are found to be the most important determinants of utilization.",Medical care,1979 Feb,United States,1979,70
511452,"University students and mental health. Canada, Britain and Singapore.","There are many crucial determinants of the individual outcome and benefit of a university education including the stressful interplay of cultural and socioeconomic factors which are of growing importance in the inflationary 1970's. An epidemiological study of university students from 1969-1972 in Canada, 1973-1974 in Britain, and 1975 in Singapore, attempted to identify stresses leading to mental ill-health in these students. Singapore was chosen as an example of a culture bridging the developed Northern and developing Southern nations of the world. Cultural differences affecting the results of the study are discussed as is the role of social change.",The International journal of social psychiatry,1979 Summer,England,1979,70
500288,Locus of control and symptoms of psychological distress among Chinese-Americans.,"A sample of Chinese-Americans in the District of Columbia was drawn to examine the relationship between the locus of control, the personality factor, and two indices of symptoms of psychological distress. The findings indicated that the externals scored higher on symptomatology than did the internals. A multivariate analysis further compared the predictive utility of locus of control with other determinants of psychiatric symptoms, i.e., sex, marital status, SES, kinship and friendship tie, and amount of life change. The evidence showed that locus of control is an important determinant of Chinese-Americans' symptomatology. It accounted for a greater proportion of the variance in the two indices of psychological distress than did the other independent variables.",The International journal of social psychiatry,1979 Autumn,England,1979,70
484315,"Self-injury behavior, economic status and the family anomie syndrome among adolescents.","Only recently has there been a focus upon the psychosocial environment of the family that surrounds the suicide-prone individual. The purpose of this research was to learn more about the association of economic status and family anomie, operationationalized by family normlessness and powerlessness scales, to the differential vulnerability of adolescents to suicide potential. The research design called for a detailed interview with the persons attempting suicide and members of their families. The study samples consisted of 30 low economic and 25 high economic status families. It was predicted that social anomie could be translated into behavioral (attempted suicide) and attitudinal (normlessness and powerlessness) determinants when viewed with regard to its impact upon the family. Significant differences in the degree of normlessness and powerlessness were found for suicidal and nonsuicidal adolescents and their families. These differences appear to be part of a family anomie syndrome.",Adolescence,1979 Summer,United States,1979,70
464166,Behavioral problems masking depression--cultural and clinical survey.,In different cultures depressions are masked by different acting-out behaviors; they vary as to type and frequency and are colored by local customs and social determinants. In Western societies hypochondriasis and psychosomatic disorders are the more common masking processes. The broad spectrum of acting-out behavioral patterns pose diagnostic and therapeutic challenges.,American journal of psychotherapy,1979 Jan,United States,1979,70
437936,Comparative social policy and political conflict in advanced welfare states: Denmark and Sweden.,"There has developed an abundant literature on the social and political determinants of social policies, but few have addressed the question of how state policies, once implemented, affect the system of stratification in civil society. This article examines the political consequences of social policy in Denmark and Sweden, countries in which a social democratic labor movement has predominated for decades. Superficially, these two highly developed welfare states appear very similar. Yet the political and social contexts in which their social policies have evolved differ substantially. I shall demonstrate the argument that the traditional welfare state approach may be conducive to a new and powerful political conflict, which directly questions the legitimacy of the welfare state itself, unless government is successful in subordinating private capitalist growth to effective public regulation. In Denmark, where social democratic governments have failed to match welfare state growth with more control of private capital, social policy has tended to undermine the political unity of the working class. Consequently, the Social Democratic Party has been weakened. Social welfare programs, in effect, have helped create new forms of stratification within the working class. In Sweden, social democratic governments have been quite successful in shifting a decisive degree of power over the private market to the state. This has helped avert a crisis of the welfare state, and has also been an important condition for continued social democratic hegemony and working-class unity. I conclude that social reform politics tend to be problematic from the point of view of the future power of social democratic movements.","International journal of health services : planning, administration, evaluation",1979,United States,1979,70
422729,Follow-up research in primary prevention: a model of adjustment in acute grief.,"Investigated the effects of preventive intervention that followed the life crisis of sudden death in the family. Two bereaved groups of families (one of which received preventive intervention service) and one non-bereaved group were compared in an outcome design and were assessed for indices of illness, psycho-social disturbance, and general quality of life. The results revealed that sudden death has a two-stage impact upon family survivors and that subsequent adjustment can be predicted from a knowledge of facts at the time of death. A preventive intervention service had little or no impact and may have been harmful. Discussion centered on possible intervention strategies with a focus upon the complex determinants of environmental stresses and family/individual variables.",Journal of clinical psychology,1979 Jan,United States,1979,70
422717,Locus of control and therapists' occupational role as determinants of clinical prognoses.,"Clinical studies that used the internal-external locus of control model developed by Rotter (1967) have shown a marked preference among clinicians for clients with an internal locus of control. In the belief that occupational roles can affect such preferences, this study examined clinicians' (sychiatrists, psychologists, social workers) prognoses for clients who had described their problems in terms of either an internal, external, or no locus of control. As hypothesized, a 5 X 3 X 3 replicated Latin Square design found that while clients who attributed their problems to an internal locus of control were given better prognoses, clinicians differed along occupational role dimensions in their prognoses for the same client. The implications of those occupational differences for professional practice were discussed.",Journal of clinical psychology,1979 Jan,United States,1979,70
369551,Teaching medical students psychosomatic medicine: of substances and approaches.,"The author describes a curriculum in which the emphasis is on teaching of medical students a general systems approach to health and illness from the first year of medical school through the fourth year. In the first year, a three-part course in behavioral science includes: Introduction to the Patient; Social and Ethical Issues in Medicine; Exercises in Decision-Making; and a didactic lecture series, Determinants of Behavior. This is followed in the second year by a course in psychopathology taught from environmental, psychological and social perspectives. The third-year clerkship emphasizes a liaison approach where students return to the medical and surgical services to work-up patients from a broad multidimensional perspective. The formal program in psychiatry and behavioral science is supported by more than 40 electives in human development, biological, social and psychological psychiatry, including behavior. During these phases the student has experience in working as a member of a team. She/he approaches the health of an individual in terms of the life phase of the individual, the present life of the individual, his/her past experiences, previous personality, reaction to the current illness phenomenon while following the illness through the hospital phase of the present illness, studying coping and adaptational processes.",Bibliotheca psychiatrica,1979,Switzerland,1979,70
573286,Experiential determinants of postpartum aggression in mice.,"The objective of this research was to explore the experiential determinants and the social controls of postpartum aggregation in mice. In Experiment 1, a group of seven lactating females was tested repeatedly from Day 2 to Day 22 postpartum against male mice; attacks by the females continued through Day 18. Two other groups of seven females tested only once showed diminished attacks against males by Day 14 postpartum. In Experiment 2, eight females were paired with a male for a week prior to parturition; they showed reliably fewer attacks on Day 2 postpartum than a group of nine females that were isolated prior to parturition. All of these results were obtained in a standard 3-min test. A 24-hr test on Day 4 of Experiment 2 revealed that in both groups female attacks dropped to near zero after 30 min. After female attacks declined, males initiated social behavior which occasioned vocalizations by the females. Further, males attacked in 65% of the tests and destroyed the litters of the females in 53% of the tests. The behavior of the male exerted important influences on the structure of extended female-male interactions.",Journal of comparative and physiological psychology,1978 Dec,United States,1978,70
720820,Some determinants of temporal experience in the retired and its correlates.,"The effects of physical health status, attitude toward retirement, and social class on temporal experience were studied in 70 male Ss, aged 52--74. A semistructured interview was utilized, and a content analysis by independent raters was performed on the resulting interview material. In general, it was found that chronic illness had a differential effect on experience, depending upon social class, for certain temporal variables. Among the healthy retirees it was also found that willingness to retire interacted with social class, and that blue collar workers who had resisted retirement resembled the chronically ill in terms of affect and temporal experience. The possibility for adjustment in retirement was linked to variations in temporal experience, and implications were drawn for preretirement intervention with specific social class target populations. Finally, psychological and behavioral consequences of variations in temporal experience were discussed, and the possibility of developing methods of altering temporal experience as a means of helping the elderly to adjust to life transitions was explored.",Genetic psychology monographs,1978 Nov,United States,1978,70
280584,Factors affecting patient completion of treatment within a student dental clinic.,"Failure of dental patients to complete their treatment challenges the efficient use of human and clinic resources, expectations of improved patients' health, and the dentist's effective management of his patients. Accordingly, the present study was undertaken to explore factors which might account for adult patients not completing their treatment at the University of North Carolina dental school. These factors were simultaneously considered as determinants of completed treatment. Possible explanations were considered from providers' (dental students') as well as inactive patients' points of view. Results revealed substantial agreement between patients and students, and yielded the following general determinants of treatment completion: patient's availability for treatment, how cooperative or treatable the patient was, and the patient's satisfaction with treatment. Demographic explanations were minimal. The findings can guide efforts to refine present methods of patient screening and patient management as practiced by dental students and their preceptors.",Journal of dental education,1978 Nov,United States,1978,70
689592,Management of innovation and change in mental health services.,"In recent years the mental health field has been characterized by innovation and change. All changes are not sound or necessary, and the most common approach to implementing change, that of power, can have unfortunate consequences. However, the incidence of innovation and change and the growing technology on planning for the adoption of innovations indicates that change can be managed more effectively. One approach to managing change is the decision determinants analysis model, a group of eight factors that influence whether a change will be successfully adopted; they are ability, values, information, circumstances, timing, obligation, resistance, and yield. The author discusses the factors and gives suggestions related to each for increasing the probability of successful adoption of a change.",Hospital & community psychiatry,1978 Oct,United States,1978,70
10238943,A canonical quality of life model.,"A five equation model was developed which related measurements of quality of life (QOL) to policy variables and to economic and social characteristics. The model was used to i) determine the jointness, or interdependency, of components of QOL, ii) demonstrate the usefulness of canonical correlation for measuring the marginal products of determinants of QOL, and iii) construct QOL indexes of social indicators. The model's parameters were estimated from state data for the U.S.A. Among the determinants of QOL educational attainment, investments in transportation facilities, region size and urbanization were most important. Expenditures on higher education, health care, and law enforcement had very little effect on socio-economic well being. Most of the differences in QOL between states were due to economic factors.",American journal of economics and sociology,1978 Oct,United States,1978,70
700226,Toward a general theory of fertility: a causal modeling approach.,"A general theory of fertility is derived hypothesizing that the demand for children is primarily an outcome of social psychological processes within the family, subject to certain socioeconomic constraints. Two broad social psychological processes are posited as determinants of fertility. The first suggests that the attitudes or tastes of family members influence the demand for children. The second maintains that the nature of the husband-wife interaction (in terms of power, conflict, decision making, and marital satisfaction) determines family size. Socioeconomic variables, in the form of the normative social structure and social stratification, and economic constraints, such as income and price, are hypothesized to influence fertility through their impact on social psychological processes within the family. The overall theory is tested on two independent samples--one in Ankara, Turkey, the second in Mexico City, Mexico--using a structural equation methodology.",Demography,1978 Aug,United States,1978,70
12265626,An economic analysis of migration in Mexico.,"This paper analyzes internal migration in Mexico over the 1960-70 period. A model of the determinants of migration is specified and estimated for aggregated interstate migration flows. Results show that distance serves as a significant deterrent to migration, that higher destination earning levels are attractive to migrants, and that regions with high unemployment rates experience lower rates of inmigration. An unanticipated finding is that regions with higher earning levels have greater rates of outmigration. The data are disaggregated to examine separate migration relationships for each state. The results are that distance is a lesser deterrent for those migrants with more accessible alternatives, that higher earning levels reduce the deterring effects of distance, and that regions with higher earning levels have lower associated elasticities of migration. It is concluded that economic factors have played a crucial role in internal migration and thus in the changing occupational and geographic structure of the Mexican labor force.",The Annals of regional science,1978 Jul,Germany,1978,70
277876,The syndrome of oral complaints: etiology and therapy.,"Many patients who were examined at the oral medicine clinic have had almost no findings, despite their severe complaints, and we propose to diagnose their condition as SOC (syndrome of oral complaints). It is more frequent in middle-aged postmenopausal women who thereby tend to express all three determinants of illness--the biologic, the psychological, and the social. Such a triple assessment of the determinants, together with a thorough physical examination, brings the SOC into the diagnostic category of hypochondria. Therefore, it should be treated by the family dentist or by the general internist, with reassurance, local measures, and minor tranquilizers.","Oral surgery, oral medicine, and oral pathology",1978 Jul,United States,1978,70
29398,"[Japanese methods of psychotherapy and their socio-cultural determinants. Impressions from Japan together with a report on the IV Congress of the International College of Psychosomatic Medicine, Sept. 5--9, 1977 in Kyoto].","Impressions of a congress-visiting-journey through the highly-industrialized far-east Japan are the background for description of specific Japanese Psychotherapeutic-technics f.i.: the Morita-therapy, Naikan-therapy and the Fasten-therapy. To the analytically trained Psychosomatic-specialist of western mentality those medical applications appear rather bewildering if not frightening. Their psychodynamic and their effectiveness become more understandable regarding the social-cultural conditions in modern Japan founded and grown on a tradition thousands of years old. Psychoanalysis can't prosper there. During the congress of the ICPM (International College of Psychosomatic Medicine) in Kyoto it became evident to the author by visits to clinics and above all by experience of typical Japanese travelling impressions, how much just psychotherapy and it's special drive-dynamical intentions are to a major degree depending on social-cultural development, the norms of value, the religion and the philosophy of a society.--Nippon is unique--strange and fascinating.",Zeitschrift fur Psychosomatische Medizin und Psychoanalyse,1978 Jul-Sep,Germany,1978,70
10308625,"Does health planning work anywhere, and if so, why?","Beginning in 1976 the Department of Health Education and Welfare of the United States Government (DHEW) and the Pan American Health Organization, which is the regional office of the World Health Organization (PAHO-WHO), jointly developed a study of health planning as currently practiced around the world. This thrust to extend our understanding and capability of application of health planning was recognized at PAHO-WHO and DHEW as being long overdue, given the diversity of health planning efforts, the thinness of theory and the frequently unsatisfactory results of health sector planning in so many countries. In 1976 a series of descriptive-analytical studies were commissioned from 17 countries representing nearly every continent and every stage of development. These studies were further analyzed and abstracted and became the basis for a 5-day discussion in Copenhagen in 1977 among 35 practicing and academic health planners gathered from 16 countries, WHO, and DHEW. The thrust of the first assembly was to identify the determinants of (1) the establishment of formal health planning machinery, (2) the scope and content of concerns assigned to health planning, (3) the participants in the process, and (4) the relationships of planners to policy makers and implementors. In 1978 the second 5-day meeting was held in New Orleans to analyze the methodologies of health planning and to determine what could be generalized and disseminated as guidance to all countries. This was based on a new series of methodologically focused case studies which were abstracted and made available to each of the 53 health planning participants from 22 countries, PAHO-WHO, and DHEW. The four major foci of this conference were (1) the state of the art in health planning methodology, (2) how methods are being developed and adapted, (3) identification of major methodological shortcomings or constraints, and (4) surmounting the difficulties facing health planning in affecting major health-influencing forces which lie outside the territory traditionally considered to be part of the health sector. This article is a report on some of the things the author learned from participating in what he considers the two most informative planning meetings he ever attended.",American journal of health planning,1978 Jul,United States,1978,70
726040,Machakos Project Studies. Agents affecting health of mother and child in a rural area of Kenya. VI. The social and hygienic environment.,"As part of an investigation into determinants of health and disease in children below five years old, a household survey on social and hygienic conditions was carried out in the Machakos Project area. This paper deals with the field methodology of the survey, the selection of variables from the material collected and the differences between the eastern and western parts of the area in respect of the variables selected. In later issues of the Machakos Project Studies, the data obtained will be related to those from other cross-sectional surveys as well as to findings on morbidity and mortality in the child population.",Tropical and geographical medicine,1978 Jun,Netherlands,1978,70
681060,'The analgesic abuse syndrome': an epidemiological perspective.,"Mild analgesics are freely available, widely used, and generally safe. Nevertheless a proportion of the population takes excessive quantities, of whom some develop chronic renal failure in consequence. A syndrome of analgesic abuse has been proposed, definable by characteristics other than analgesic intake. To examine this concept, a population study of analgesic consumption was carried out; the distribution was clearly unimodal and no association could be found between the quantity of analgesics taken and social class, marital status, working or not working, tea or coffee consumption or the number of cigarettes smoked. The principal determinants appeared to be sex, with females reporting a higher intake, and the presence of painful conditions. It was concluded that analgesics abuse cannot be defined other than by the number of analgesics consumed, and that the concept of an analgesic abuse 'syndrome' is not helpful in the design of preventive programmes.",International journal of epidemiology,1978 Jun,England,1978,70
675459,Health status among low-income elderly persons: rural-urban differences.,"This research compares the health status of low-income elderly persons in rural and urban areas. Using data from the Social Security Administration's 1973 national survey of low-income aged and disabled, the study demonstrates that the prevalence of many chronic disorders and impairments is significantly greater among the rural aged than for their cohorts in more urban areas. These differences persist after controls for age, sex, and race are introduced. No significant differences between rural and urban elderly were apparent in the utilization of health services. The determinants of chronic health status of the elderly have already occurred, by and large, and an explanation of disorders and impairments cannot be found by examining current sociodemographic status. Such an explanation is contained in the accumulated effects of years of residence in differing social, economic, and physical environments.",Social security bulletin,1978 Jun,United States,1978,70
670952,Reactions of infants and young children to a stranger in an unfamiliar setting.,"Reactions of infants and young children to a stranger in an unfamiliar laboratory setting were examined to determine (a) variability in responses at six, 12, 24, and 36 months; (b) consistency of six and 12 month infants' responses to specific stranger behaviors; and (c) possible determinants of responses to strangers. The reactions of 136 male and female infants and children to a female stranger were recorded both when the stranger was actively trying to interact with the child and when the stranger sat quietly nearby after giving him a toy to play with. Both positive and negative reactions were observed at all ages, with one-year-olds showing greater distress than other age groups. Consistency was found in infant reactions to intrusive stranger behaviors. It was suggested that stangers are more likely to elicit curious-affiliative than cautious-avoidance behaviors from chidren if they are both attentive and appropriately to the child on the basis of his communications.",The Journal of genetic psychology,1978 Jun,United States,1978,70
670589,Normative data on revised Conners Parent and Teacher Rating Scales.,"Normative data are presented for 570 children on newly revised versions of the Conners Parent and Teacher Rating Scales. Symptom ratings were factor analyzed and structures compared favorably with those obtained using earlier versions of the questionnaires. Interrater correlations (mother-father, parent-teacher) were also reported. Age and sex effects were found to be significant determinants of children's scores, while social class effects were nonsignificant.",Journal of abnormal child psychology,1978 Jun,United States,1978,70
27571,"Comments on ""Studies of the interaction of psychological and pharmacological determinants of smoking"" by Schachter et al.","The work by Schachter and his colleagues on the psychological and pharmacological determinants of smoking is reviewed. The experiemental procedures are critically examined, and some are judged to be in violation of ethical standards for the conduct of research with human participants. Questions are raised concerning matters of informed consent, the description of debriefing procedures, and use of the college classroom as a psychological laboratory.",Journal of experimental psychology. General,1978 Jun,United States,1978,70
658557,"The determinants of marital fertility in the United States, 1968-1970: inferences from a dynamic model.","Criticizing the static assumptions of previous socioeconomic and microeconomic models of marital fertility, particularly regarding the sequential and stochastic facets of family building, this paper advocates a dynamic perspective. Of particular concern is the assumption of equilibrium family size made by those who employ the static perspective. The equilibrium family size assumption implies that the parameters relating social and economic variables to fertility will be similar for all births, regardless of order. To test this assumption of constancy, a two-equation model of fertility and female employment is introduced. Contrary to the static perspective's implication of constant effects, substantial parity differences in the estimates of parameters for both equations are reported, as are several differences between blacks and whites. On the basis of this evidence, I conclude that the static decision-making framework should be replaced by a dynamic approach to marital fertility.",Demography,1978 May,United States,1978,70
26265,[Psychological determinants of motivation in adult education (author's transl)].,"The psychology of motivation in adult education has been mostly confined to the assessment of superficial causes for attending courses and seminars. The findings were not integrated in a ced in a conclusive theory of motivation elaborated for instance by American and German psychologists. Besides that the verbalized ""motives"" to attend courses were hardly correlated with other psychological and social context variables. An investigation of the relationship between verbalized ""motives"" to attend courses, certain personality dimensions (Freiburg Personality Inventory) and some aspects of the ""life space"" (occupational and non-occupatoinal) revealed that the motivation to participate in adult education is embedded in the context of psychological and socio-demographic factors and that the motive structure depends on the relevance of life-long learning, for example, to keep or improve the occupational status or to meet people involved in creative activities.",Aktuelle Gerontologie,1978 Apr,Germany,1978,70
630303,The psychological and social effects of myocardial infarction on wives.,"Eighty-two wives of men suffering a first myocardial infarction were interviewed while their husbands were in hospital, and again two months and a year after they went home. The wives had substantial and persistent psychological symptoms, and the husbands' illness had continuing effects on their work, leisure and social activities, and family life and marriage, their psychosocial disability being comparable to that of the patients. Measures of psychosocial adjustment before the illness and the quality of the marriage and of family life were good predictors of outcome for the wives. The women had a major role in the patients' readjustment during convalescence, and their attitudes and behaviour as well as the general quality of family life were important determinants of the rate and extent of the patients' recovery. The wives of patients with myocardial infarction should have more practical help and advice during the hospital period, and the whole family should be given advice and help throughout the convalescence.",British medical journal,1978 Mar 18,England,1978,70
