PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,OID,OAB,OABL,OTO,OT,GN,EDAT,MHDA,CRDT,PHST,PST,SO,RN,EIN,RF,AID,GR,TT,PMC,CI,CIN,LID,CN,CON,PS,FPS,DEP
2576262,NLM,MEDLINE,19900410,20051116,0020-725X (Print) 0020-725X (Linking),34 Suppl,,1989,The worldwide use of steroidal contraception.,56-63,"Historically, concerns about rapidly growing populations and resources that could not support them persuaded governments of developing countries to initiate family planning programs. Between the early 1960s and the early 1980s, the number of governments supporting these programs increased from 7 to approximately 120. Today, 52 governments in developing countries provide support to family planning programs because of the demographic rationale, and 65 governments do so because of human rights and health considerations: The effective use of family planning significantly diminishes infant, child, and maternal mortality and morbidity. Forty-five percent of married women of reproductive age worldwide are practicing contraception today; however, 69% do so in East Asia and only 11% in Africa. Female sterilization and use of intrauterine devices are the most popular methods in developing countries, and oral contraceptives and condoms, in developed countries. Of the 400 million women of reproductive age, 140 million (35%) are relying on family planning methods requiring male cooperation and less than 60 million (15%) are using oral contraceptives. More than half of these oral contraceptive users live in four countries: the United States, Brazil, France, and the Federal Republic of Germany. On the other hand, the percentage of currently married women, aged 15 to 19 years, who have never used any form of contraception is as high as 85% to 90% in Bangladesh, Sudan, and Pakistan. In many developing countries, there is a statistically significant correlation between women's use of contraception and years of education. Other important factors influencing contraceptive prevalence include the established or perceived side effects of currently available methods, the status of women, the political climate, and a number of behavioral and social determinants.","['Diczfalusy, E']",['Diczfalusy E'],"['WHO Special Program of Research on Human Reproduction, Karolinska Institute, Stockholm, Sweden.']",['eng'],"['Journal Article', 'Review']",United States,Int J Fertil,International journal of fertility,0374717,IM J,"['Adolescent', 'Adult', 'Contraception/methods/*trends', 'Contraceptives, Oral/*therapeutic use', 'Female', 'Humans']","['PIP: 073487', 'POP: 00212338']",,,['PIP'],"['Contraception', '*Contraception Research', '*Contraceptive Usage', '*Demographic Factors', '*Developed Countries', '*Developing Countries', 'Economic Factors', 'Family And Household', 'Family Characteristics', '*Family Planning', 'Family Size', '*Family Size, Desired', '*Government Sponsored Programs', 'Health', '*Infant Mortality--statistics', '*Maternal Health', 'Measurement', 'Mortality', 'Organization And Administration', 'Population', 'Population Dynamics', '*Population Growth', '*Prevalence', 'Programs', 'Research Methodology', '*Socioeconomic Factors', ""*Women's Status""]",['PIP: TJ: INTERNATIONAL JOURNAL OF FERTILITY.'],1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",ppublish,Int J Fertil. 1989;34 Suppl:56-63.,"['0 (Contraceptives, Oral)']",,22,,,,,,,,,,,,
2529668,NLM,MEDLINE,19891030,20061115,0039-4564 (Print) 0039-4564 (Linking),73,1,1989,[A historico-social approach to the medical scientific theory of Ludwik Fleck (1896-1961)].,12-25,"Ludwik Fleck has shown in his discussion of the logical empirism of the Vienna Circle that his concept of reality presupposes an unproven logico-structural correspondence between the world and the formal logical structure of language, i.e. between reality and thought. Upon this questionable foundation he proceeds to develop his own position concerning the theory of medical science. He claims that scientific knowledge is at no time exempt from cultural, historical and social conditions, of which scientific knowledge itself is a function. These conditions find expression in the style of thought of a particular epoch (""Denkstil"") as well as in the interaction of the participating scientists (""Denkkollektiv""). Flecks merits for having explicated the conditionality of the process of scientific knowledge over against positivistic thought have been honourably elaborated in many studies. The present study offers an analysis of the manner in which the Fleck position attempts to serve as an explanation of change in the content and style of thought in history. It will be made clear that these changes and developments can only be explained as the result of the interaction and competition among the collectives of scientists and thinkers. Fleck deprives his socio-historical position of its logical foundation by radicalizing these conditions in such a manner that they become fundamental determinants of human thought generally and for the individual scientist particularly. As a consequence, from the perspective in which the thought of the individual is thus determined, he can neither establish a convincing theory for changes in thought in history nor for the human relations obtaining within the collective of scientists and thinkers.","['Neumann, J']",['Neumann J'],,['ger'],"['Biography', 'English Abstract', 'Historical Article', 'Journal Article']",Germany,Sudhoffs Arch,Sudhoffs Archiv,0240376,IM Q,"['Austria', 'Germany', 'History, 20th Century', 'Microbiology/history', 'Philosophy, Medical/*history', 'Research Design/*history', '*Systems Theory']",,,,,,,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",ppublish,Sudhoffs Arch. 1989;73(1):12-25.,,,,,,Der historisch-soziale Ansatz medizinischer Wissenschaftstheorie von Ludwik Fleck (1896-1961).,,,,,,,['Fleck L'],"['Fleck, L']",
2514523,NLM,MEDLINE,19900215,20190908,0303-8408 (Print) 0303-8408 (Linking),34,6,1989,[Determinants of income and expenditure development in the annual reports of the health insurance of the Federal Republic of Germany].,256-9,"Contribution rates to the German statutory health insurance differ considerably between different sickness funds. While insurance benefits are largely standardized, these differences are widely regarded as a problem for the state's social policy. The health insurance bodies often offer hasty interpretations to justify the differences of contribution rates. These interpretations, however, cannot be checked on the basis of data from the annual reports of the health insurance. In reality, there is a number of determinants of the contribution rate which lie as well inside as outside the sphere of influence of the health insurance bodies. In order to estimate the respective impact of single determinants it is important to differentiate the health expenditures by age and sex of all insured persons (both the contribution paying members and their co-insured dependents). A further disentanglement of health expenditures into prices, quantities and structural components allows to identify the reasons of increases in health costs. This is also a necessary precondition for creating and implementing suitable measures that are directed to control health costs. At the same time, the improved information system of the statutory health insurance would contribute to a better understanding of the performance of the health system in general.","['Jacobs, K']",['Jacobs K'],"['IGES-Institut fur Gesundheits- und Sozialforschung, Berlin (West).']",['ger'],"['English Abstract', 'Journal Article']",Switzerland,Soz Praventivmed,Sozial- und Praventivmedizin,7502479,IM,"['Age Factors', 'Cost Control', '*Fees and Charges', 'Female', 'Germany, West', 'Health Expenditures', 'Humans', 'Insurance Benefits', 'Insurance, Health/*economics', 'Male', 'Public Policy']",,,,,,,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",ppublish,Soz Praventivmed. 1989;34(6):256-9. doi: 10.1007/bf02083219.,,,,['10.1007/bf02083219 [doi]'],,Determinanten der Einnahmen- und Ausgabenentwicklung in den Jahresberichten der Krankenkassen der Bundesrepublik Deutschland.,,,,,,,,,
2489986,NLM,MEDLINE,19910703,20191029,0300-9645 (Print) 0300-9645 (Linking),11,,1989,Determinants of contraceptive use dynamics: research needs on decision and choice.,9-16,"Because of the importance of contraceptive behaviour in most societies today a better understanding is needed of the social and behavioural factors affecting contraceptive decisions and choices of individuals and couples. This paper examines the need for longitudinal, theoretically-based studies of contraceptive use dynamics, including the timing, duration and interaction of reproductive events which may be more important than contraceptive technology in the social, cultural and economic context of fertility control. New research methods and appropriate analysis of data are relevant. Consideration of the social context is essential for the formulation and implementation of effective policies relating to the provision of contraceptive services.","['Mundigo, A I', 'Phillips, J F', 'Chamratrithirong, A']","['Mundigo AI', 'Phillips JF', 'Chamratrithirong A']","['Institute for Population and Social Research, Mahidol University, Bangkok.']",['eng'],['Journal Article'],England,J Biosoc Sci Suppl,Journal of biosocial science. Supplement,0235416,IM,"['*Choice Behavior', 'Contraception Behavior/*psychology/statistics & numerical data', '*Decision Making', 'Research/*standards/trends', 'Research Design']",,,,,,,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",ppublish,J Biosoc Sci Suppl. 1989;11:9-16. doi: 10.1017/s0021932000025384.,,,,['10.1017/s0021932000025384 [doi]'],,,,,,,,,,,
2489983,NLM,MEDLINE,19910703,20191029,0300-9645 (Print) 0300-9645 (Linking),11,,1989,Sociodemographic determinants of contraceptive method choice in Sri Lanka: 1975-82.,41-60,"The determinants of contraceptive method choice in Sri Lanka are examined during a period in which contraceptive prevalence increased by over 60% and involved substantial use of sterilization and traditional methods. Data are from the 1975 World Fertility and 1982 Contraceptive Prevalence Surveys. Polytomous logistic regression is used to model four current contraceptive choices: non-use, use of a traditional method, use of a modern temporary method and use of sterilization. The analysis shows, in 1975 and 1982, strong socioeconomic as well as demographic effects on whether any method is used. However, in both years the type of method chosen is primarily a function of demographic considerations related to the couple's family-building stage rather than social status, implying that in Sri Lanka there are few socioeconomic barriers limiting access to different contraceptive methods. The family planning programme, however, has emphasized sterilization rather than birth spacing methods.","['Kahn, J R', 'Thapa, S', 'Gaminiratne, K H']","['Kahn JR', 'Thapa S', 'Gaminiratne KH']","['Department of Sociology, University of Maryland, College Park.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",England,J Biosoc Sci Suppl,Journal of biosocial science. Supplement,0235416,IM,"['Age Factors', 'Contraception/economics/methods/*statistics & numerical data', 'Contraception Behavior/ethnology/*psychology', 'Female', 'Humans', '*Logistic Models', 'Male', 'Marriage', '*Models, Psychological', 'Socioeconomic Factors', 'Sri Lanka']",,,,,,,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",ppublish,J Biosoc Sci Suppl. 1989;11:41-60. doi: 10.1017/s0021932000025402.,,,,['10.1017/s0021932000025402 [doi]'],,,,,,,,,,,
2487128,NLM,MEDLINE,19910308,20061115,0886-6708 (Print) 0886-6708 (Linking),4,2,1989 Summer,The ecology of child abuse and neglect: review of the literature and presentation of data.,101-20,"This report assesses current knowledge about the ecological determinants of child maltreatment and presents data from an aggregate study of co-variation between seven community characteristics and maltreatment rates. A review of these findings revealed literature in the early stages of development. Nothing is known about the ecology of sexual abuse, and studies of physical abuse and neglect have done little more than demonstrate co-variation between reported incidence and neighborhood population and housing characteristics. Study findings reveal that (a) five of the seven community characteristics are significant and independent correlates of neglect, and four are correlates of abuse; (b) the strongest predictors of both types of maltreatment are percentage of families with income less than 200% of poverty and percent of vacant housing; and (c) the pattern of co-variation between the two economic stress indicators and three inadequate social support indicators are consistent with the ecological hypothesis. Discussion focuses on interpretation of findings and recommendations for future research.","['Zuravin, S J']",['Zuravin SJ'],"['School of Social Work and Community Planning, University of Maryland, Baltimore.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", 'Review']",United States,Violence Vict,Violence and victims,8916436,IM,"['Baltimore/epidemiology', 'Child', 'Child Abuse/epidemiology/*psychology', 'Cross-Sectional Studies', 'Humans', 'Incidence', 'Risk Factors', '*Social Environment', '*Social Support', '*Socioeconomic Factors']",,,,,,,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",ppublish,Violence Vict. 1989 Summer;4(2):101-20.,,,55,,,,,,,,,,,,
10304496,NLM,MEDLINE,19910919,20041117,0897-7186 (Print) 0897-7186 (Linking),1,1,1989,Fostering primary and secondary prevention in public policy for pregnant adolescents.,89-98,The diverse factors associated with sexuality among adolescents and the specific issues related to contraception in this developmentally diverse group result in complexity in policy formation. The future of an adolescent may be determined solely on the basis of access to supportive physical and emotional services funded by public and private sector monies. The purpose of this paper is to briefly present contemporary and social policies regarding pregnant adolescent health care. Suggestions as to how these policies can be translated into public adolescent health models are provided. The strategies will be related to primary and secondary public policy interventions.,"['Smith, P B', 'Kutzner, S K']","['Smith PB', 'Kutzner SK']","['Baylor College of Medicine, Houston, TX 77030.']",['eng'],['Journal Article'],United States,J Health Soc Policy,Journal of health & social policy,9000937,H J,"['Adolescent', '*Family Planning Services', 'Female', 'Humans', 'Pregnancy', '*Pregnancy in Adolescence', '*Primary Prevention', '*Public Policy']","['PIP: 069673', 'POP: 00212925']","['Public policy models which are strategically focused and longterm and are', 'flexible, diverse, and creative, and discusses. The emphasis is on current social', 'policies on adolescent and adolescent pregnancy health care and suggested', 'improvements in viability or related primary and secondary public policy', 'interventions that are possible. There are primary prevention models, the', 'provision of sterilization for mature minors with children, incentives to', 'providers for primary prevention, pregnancy marketing among high risk groups,', 'improving access to adolescent preventive services, secondary pregnancy', 'prevention policies, and adolescent Aid to Families with Dependent Children', '(AFDC) recipient outreach. It is concluded that policies must be carefully', 'developed because of the complexity of the issues. Problems are present for', 'adolescents seeking care. Entitlement programs such as Title XIX and Medicaid are', 'not current with client needs nor is processing expedited. Cost reimbursement', 'strategies need to be developed. Shortterm policies are of limited value.', 'Recommended birth control methods need to be tailored to adolescents with', 'multiple partners and those at risk of sexually transmitted diseases. Thus, the', 'IUD is contraindicated. The availability of supportive emotional and physical', 'services directly determines the future in a society that has a prominent', 'sexually active adolescent population. Politically sensitive school-based', 'clinical may not be as effective as public health affiliated and/or academically', 'affiliated institutions which are not controversial and have both private and', 'public support. Policy development should be promoted within health departments', 'and legislatures in interagency agreements rather than within school', 'administration. Without controversy and harassment, utilization is maximized.', 'Client enhancement strategies for self-care health behavior have been successful', 'abroad. Cash incentive strategies must not be perceived as bribes. Family size', 'might be limited if state, local, or regional funds were made available for tubal', 'ligation. Adolescents would be serviced better if funding ceilings allowed for', 'adolescent reproductive health services. Periodic mailings to at-risk groups,', 'such as AFDC adolescents, with location of health services, benefits of family', 'planning, and access/transportation to services is an effective strategy.', 'Multidimensional service approaches are efficient, help follow up, and may help', 'shift financial support. Reducing the number of school dropouts and building', 'self-esteem and self-sufficiency are recommended secondary strategies.']",['eng'],['PIP'],"['*Adolescent Pregnancy', 'Americas', 'Contraception', '*Contraceptive Availability', 'Demographic Factors', 'Developed Countries', 'Education', 'Family Planning', '*Family Planning Education', '*Family Planning Policy', 'Family Planning, Behavioral Methods', 'Female Sterilization', 'Fertility', '*Government Sponsored Programs--determinants', '*Health Education', 'North America', 'Northern America', 'Organization And Administration', 'Policy', 'Population', 'Population Dynamics', 'Population Policy', '*Program Accessibility', '*Program Development', 'Program Evaluation', 'Programs', 'Reproductive Behavior', '*Schools', '*Sex Education', '*Sexual Abstinence', 'Social Policy', 'Sterilization, Sexual', '*Tubal Ligation', 'Tubal Occlusion', 'United States']",['PIP: TJ: JOURNAL OF HEALTH AND SOCIAL POLICY'],1988/12/10 00:00,1988/12/10 00:01,['1988/12/10 00:00'],"['1988/12/10 00:00 [pubmed]', '1988/12/10 00:01 [medline]', '1988/12/10 00:00 [entrez]']",ppublish,J Health Soc Policy. 1989;1(1):89-98. doi: 10.1300/J045v01n01_08.,,,,['10.1300/J045v01n01_08 [doi]'],,,,,,,,,,,
10296108,NLM,MEDLINE,19900109,20190513,0268-1080 (Print) 0268-1080 (Linking),4,2,1989,AIDS: is health education the answer?,141-7,"In the absence of a vaccine or effective treatment, prevention of infection with the human immunodeficiency virus (HIV) is presently the only feasible option for the control of AIDS. Most transmission is related to high risk behaviours, and attempts to change these behaviours are key objectives of many AIDS Control Programmes. Health Education, or Information, Education and Communication (IEC) strategies have been developed to achieve these objectives. Yet few evaluations of health education programmes have been carried out, and the intimate relationship between AIDS and other sexually transmitted diseases is often ignored. Behaviour has a multitude of determinants, and consequently no simple approach focusing on one aspect of behaviour can be expected to be successful. Not only does knowledge need to be imparted, but attitudes, beliefs, social- and peer-group norms need to be addressed. The development of IEC programmes is hampered by the specific routes of transmission of the HIV, involving sensitive areas of human behaviour, and by a lack of knowledge about these behaviours. Nevertheless, a number of seemingly successful programmes have been carried out. Active participation of the target groups appears to be a key factor in success. Although health education makes intuitive sense, rigorous documentation and strict evaluation is necessary to provide its justification and to maximize the potential of this strategy.","['Van Dam, C J']",['Van Dam CJ'],,['eng'],['Journal Article'],England,Health Policy Plan,Health policy and planning,8610614,H X,"['Acquired Immunodeficiency Syndrome/*prevention & control', 'Belgium', 'Data Collection', 'Evaluation Studies as Topic', '*Health Behavior', '*Health Education', 'Humans', 'Risk Factors', 'Sexual Behavior']",,,,,,,1988/12/10 00:00,1988/12/10 00:01,['1988/12/10 00:00'],"['1988/12/10 00:00 [pubmed]', '1988/12/10 00:01 [medline]', '1988/12/10 00:00 [entrez]']",ppublish,Health Policy Plan. 1989;4(2):141-7. doi: 10.1093/heapol/4.2.141.,,,,['10.1093/heapol/4.2.141 [doi]'],,,,,,,,,,,
12157687,PIP,MEDLINE,19900501,20061115,0122-0977 (Print) 0122-0977 (Linking),4,13,1988 Dec,"[Poor, propertyless and pregnant: classification of women's status by country].",22-7,,,,,['spa'],"['Comparative Study', 'English Abstract', 'Journal Article']",Colombia,Profamilia,"Profamilia : planificacion, poblacion y desarollo",101084434,J,"['*Developed Countries', '*Developing Countries', 'Economics', '*Education', '*Family Characteristics', 'Health', '*Health Planning Guidelines', '*Human Rights', '*Maternal Welfare', '*Poverty', 'Research', '*Social Class', 'Socioeconomic Factors', ""*Women's Rights""]","['PIP: 054215', 'POP: 00190173']","['A new study called ""Poor, propertyless, and pregnant"" that classified the', 'condition of women in 99 countries found women in Sweden, Finland, and the US to', 'enjoy the best legal and social conditions and the greatest degree of equality', 'with men. The worst discrimination against women occurred in Bangladesh, Mali,', 'Afghanistan, North Yemen, Pakistan, Nigeria, and Saudi Arabia. Women do not have', ""complete equality with men in any country. But over 60% of the world's female"", 'population lives in countries where extensive poverty and sexual discrimination', 'have created conditions of deprivation. One of the principal mechanisms that', 'negatively influences the condition of women is early procreation; early and', ""frequent childbirth obliterates women's chances for education and paid"", 'employment. Feminization of poverty is becoming universal, largely because a', 'growing proportion of households are headed by women with dependent children. In', 'developed and developing countries alike, working women with families work a', 'double day. Although the struggle for legal and social equality for women takes', 'different forms in different countries, certain basic measures can be applied by', 'all governments. Reforms are needed to give women access to more remunerative', 'jobs, equal property rights, and access to credit. Greater investments are needed', 'in reproductive health and in education and training for women. Governments,', 'employers, and husbands should recognize the social value of childbirth and child', 'rearing. The study is divided into 5 sections, each of which has 4 series of', 'data, so that each country is evaluated on 20 variables. The 5 sections are', 'health, nuptiality and children, education, economic participation, and social', 'equality. In most developed countries women live an average of 7 years longer', 'than men, but in developing countries the difference is only 2 years.', 'Complications of pregnancy and childbirth cause the deaths of over 500,000 women', 'each year and affect another 5 million, mostly in developing countries. The', 'condition and welfare of women are tightly linked to 3 factors: age at marriage,', ""beginning of procreation, and capacity to regulate and space pregnancies. Women's"", 'status is also influenced by whether they are married and their rights to', 'divorce. In developing countries about 45% of women are illiterate, compared to', '25% of men. The salaries of women do not equal those of men in any country. Only', 'Finland and Sweden have been unreservedly committed to providing equal political', 'rights and legal protection against sexual discrimination.']",['eng'],['PIP'],"['*Comparative Studies', '*Developed Countries', '*Developing Countries', 'Economic Factors', '*Education--women', 'Family And Household', 'Family Characteristics', '*Family Size', 'Health', '*Human Rights--women', '*Maternal Health', '*Poverty--women', '*Recommendations', 'Research Methodology', 'Socioeconomic Factors', '*Socioeconomic Status--women', 'Studies', ""*Women's Status--determinants"", ""*Women's Status--legal aspects"", '*World']","['PIP: TJ: PROFAMILIA. PLANIFICACION, POBLACION Y DESARROLLO']",1988/12/01 00:00,2002/10/09 04:00,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '2002/10/09 04:00 [medline]', '1988/12/01 00:00 [entrez]']",ppublish,Profamilia. 1988 Dec;4(13):22-7.,,,,,,"Pobre, desposeida y embarazada. Clasificacion por pais de la condicion de la mujer.",,,,,['Population Crisis Committee PCC'],,,,
3244865,NLM,MEDLINE,19890601,20191022,0272-4332 (Print) 0272-4332 (Linking),8,4,1988 Dec,"The effects of driving age, driver education, and curfew laws on traffic fatalities of 15-17 year olds.",569-74,"This study examines the effect of state driving age, learning permit, driver's education, and curfew laws on 15-17-year-old driver fatality rates. A multivariate regression model is estimated for 47 states and nine years. The minimum legal driving age and curfew laws are found to be important determinants of fatalities. Driver's education and learning permits have smaller effects. The relationship between rates of licensure and driving age, education, and curfew laws is also examined. In each case, a more restrictive policy is found to reduce licensure of 15-17 year olds. The results suggest that the imposition of curfew laws and higher minimum driving ages are particularly effective traffic safety policies.","['Levy, D T']",['Levy DT'],"['Federal Trade Commission, Washington, D.C. 20580.']",['eng'],['Journal Article'],United States,Risk Anal,Risk analysis : an official publication of the Society for Risk Analysis,8109978,IM,"['Accidents, Traffic/*mortality', 'Adolescent', 'Adolescent Behavior', 'Age Factors', 'Automobile Driver Examination', '*Education', 'Humans', '*Legislation as Topic', 'Licensure', 'Regression Analysis', 'Social Control, Informal', 'United States']",,,,,,,1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",ppublish,Risk Anal. 1988 Dec;8(4):569-74. doi: 10.1111/j.1539-6924.1988.tb01200.x.,,,,['10.1111/j.1539-6924.1988.tb01200.x [doi]'],,,,,,,,,,,
3240048,NLM,MEDLINE,19890503,20061115,0003-9764 (Print) 0003-9764 (Linking),45,10,1988 Dec,[The wish for a baby and pregnancy in adolescence].,845-9,"During the Summer of 1987, interviews were carried out with 33 pregnant adolescents followed at the Nancy regional maternity hospital, in order to improve the knowledge of the present determinants of pregnancy in teens. These adolescents were mostly French, born in unfavourable classes; virtually all had school failure and no professional qualification. In one third of them, pregnancy was accidental and could appear as a further social handicap for these isolated and unemployed adolescents. However, two thirds of these future mothers declared that they had desired their pregnancy, most often within a steady and gratifying couple relationship.","['Aubry, C', 'Schweitzer, M', 'Deschamps, J P']","['Aubry C', 'Schweitzer M', 'Deschamps JP']","['Departement de Sante Publique, Universite de Nancy.']",['fre'],"['English Abstract', 'Journal Article']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,IM,"['Adolescent', 'Female', 'France', 'Humans', 'Interview, Psychological', 'Maternal Behavior', 'Pregnancy/*psychology', '*Pregnancy in Adolescence', 'Social Problems', 'Socioeconomic Factors']",,,,,,,1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",ppublish,Arch Fr Pediatr. 1988 Dec;45(10):845-9.,,,,,,Desir d'enfant et grossesse dans l'adolescence.,,,,,,,,,
3202087,NLM,MEDLINE,19890117,20180330,0002-9165 (Print) 0002-9165 (Linking),48,6,1988 Dec,Studies in human lactation: milk volumes in lactating women during the onset of lactation and full lactation.,1375-86,"After validation of test-weighing procedures milk volumes produced by 13 multiparous Caucasian women were followed longitudinally through the first year of lactation. All practiced exclusive breast-feeding for at least 5 mo. Milk transfer to the infant was low on days 1 and 2 and increased rapidly to 498 +/- 129 g/d (means +/- SD) on day 5 and then more slowly to 753 +/- 89 g/d during months 3-5. There was a characteristic milk volume for each mother-infant pair that was significantly related neither to milk yield on days 4-6 nor to birth weight. It was, however, strongly related to infant weight at 1 mo, suggesting that infant and/or maternal factors coming into play during the first month of life are strong determinants of subsequent milk transfer to the infant.","['Neville, M C', 'Keller, R', 'Seacat, J', 'Lutes, V', 'Neifert, M', 'Casey, C', 'Allen, J', 'Archer, P']","['Neville MC', 'Keller R', 'Seacat J', 'Lutes V', 'Neifert M', 'Casey C', 'Allen J', 'Archer P']","['Department of Physiology, University of Colorado School of Medicine, Denver.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Clin Nutr,The American journal of clinical nutrition,0376027,AIM IM J,"['Adult', 'Body Weight', 'Breast Feeding', 'Female', 'Humans', 'Infant', 'Infant Nutritional Physiological Phenomena', '*Lactation', 'Longitudinal Studies', 'Milk, Human/*analysis', 'Nutritional Status', 'Pregnancy']","['CPFH: 24176cr988', 'POP: 00181991']","['After validation of test-weighing procedures milk volumes produced by 13', 'multiparous US Caucasian women were followed longitudinally through the 1st year', 'of lactation. All practiced exclusive breastfeeding for at least 5 months. Milk', 'transfer to the infant was low on days 1 and 2 and increased rapidly to 498 +or-', '129 g/d (approximately equal to x +or- standard deviation) on day 5 and then more', 'slowly to 753 +or- 89 g/d during months 3-5. There was a characteristic milk', 'volume for each mother-infant pair that was significantly related neither to milk', 'yield on days 4-6 nor to birthweight. It was, however, strongly related to infant', 'weight at 1 month, suggesting that infant and/or maternal factors coming into', 'play during the 1st month of life are strong determinants of subsequent milk', 'transfer to the infant. The subjects in the study were all nonsmokers who planned', 'to continue breastfeeding for at least 1 year. None used hormonal contraception', 'during the study. Mean age at the birth of the study infant was 31.9 +or- 4.4', 'standard deviation (range 25-39 years). Median family income was US$35,000/year.', 'All mothers were high school graduates and all but 2 had college degrees. The', 'data in this study differ in no significant respect from milk-volume data', 'obtained in larger, cross-sectional studies from a variety of populations', 'throughout the world. Future studies focusing on the infant factors that', 'influence the demand for breast milk in the 1st month postpartum may be of', 'considerable importance in understanding the growth of the breastfed infant.']",['eng'],['PIP'],"['Americas', '*Behavior', 'Biology', '*Birth Weight', '*Body Weight', '*Breast Feeding', '*Child Development', '*Child Rearing', 'Colorado', 'Demographic Factors', 'Developed Countries', 'Developing Countries', 'Economic Factors', '*Growth', 'Health', '*Human Milk', '*Infant Nutrition', '*Lactation', 'Maternal Physiology', '*Measurement', '*Middle Income Population', 'North America', '*Northern America', 'Nutrition', 'Physiology', 'Population', 'Population Dynamics', 'Research Methodology', '*Research Report', 'Social Class', 'Socioeconomic Factors', 'Socioeconomic Status', '*Time Factors', 'United States']",['PIP: TJ: AMERICAN JOURNAL OF CLINICAL NUTRITION.'],1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",ppublish,Am J Clin Nutr. 1988 Dec;48(6):1375-86. doi: 10.1093/ajcn/48.6.1375.,,,,['10.1093/ajcn/48.6.1375 [doi]'],"['01 HD 22801/HD/NICHD NIH HHS/United States', 'HD 19547/HD/NICHD NIH HHS/United States', 'RR-69/RR/NCRR NIH HHS/United States']",,,,,,,,,,
